標題/社區,地址,價格,坪數,房型,樓層,建物類型
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,20000,21.5,,,
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,25000,35,,,
海天DEFG棟,淡水區-八勢一街,13600,18,,,
淡水幸福城,淡水區-學府路,20800,28,,,
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,15300,18,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,
海洋都心3,淡水區-新市五路三段,13900,17,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
海洋都心No.3 Ocean city,淡水區-新市三路二段,25000,25,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
海洋都心3,淡水區-新市五路三段,72000,57,,,
大旭地,淡水區-北新路一段,32000,46.5,,宏盛水悅/高樓層三房/平面車位/前後陽台,
鄉林山海匯,淡水區-八勢路,6000,5,,宏盛水悅/高樓層三房/平面車位/前後陽台,
宏盛水悅,淡水區-新市三路,19960,20,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
淡大溫哥華,淡水區-水源街二段,29000,31,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
富麗欣,淡水區-濱海路二段,1900,12,,,台北GOGO社區近竹圍捷運站車位出租
尚海,淡水區-淡金路,90000,80,,,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路,7000,6,,,
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,8900,35,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,18000,35,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,18000,35,,,
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,18000,35,,,
海洋都心No.3 Ocean city,淡水區-新市三路二段,28633,68.8,,,
海洋都心No.3 Ocean city,淡水區-新市三路二段,32258,69.4,,,
海洋都心No.3 Ocean city,淡水區-新市三路二段,15000,28.9,,,
海洋都心,淡水區-新市五路三段,15000,,,,
宏盛海都 2期,淡水區-新市三路二段267號,22000,22.7,,,
海洋都心,淡水區-新市五路三段,22000,19.1,,,和光同塵全新裝潢少戶數社區住戶單純
和光同塵,淡水區-新市二路三段172巷3弄,22000,18.5,,,
台北灣-江南大宅,淡水區-沙崙路一段,23000,32,,,
新市一路三段/中山北路二段,淡水區-新市一路三段101巷17弄,20000,15.5,,,
富陽四季,淡水區-中正東路二段,15000,23,,,
3F/4F,淡水區-學府路100巷11號,50000,24.4,,,
5F/5F,淡水區-學府路136巷,7500,6,獨立套房,,
請加line是@house123456,淡水區-新民街63巷,7500,,,,
海洋都心,淡水區-新市五路三段,26000,32.2,,,
陽光新苑,淡水區-沙崙路,20000,14.9,,,
有富SUNDAY,淡水區-八勢一街,30500,45,,,
台北灣-江南大宅,淡水區-沙崙路一段,13000,8,獨立套房,,【近淡水捷運站紐約公寓菁英套房】D9D
5F/5F,淡水區-學府路,22600,36,,,
川普G3,淡水區-淡金路一段,23000,12,,,
摩納哥,淡水區-淡金路38巷,7000,6.5,🏡淡水區南勢埔47巷｜獨立套房招租｜可申請租補🏡,,
元/月,新北市淡水區真理街❤️❤️❤️,7000,12,獨立套房,,
3F/5F,淡水區-新民街3巷,8200,12,🏡淡水區南勢埔47巷｜獨立套房招租｜可申請租補🏡,,
元/月,🏡淡水區南勢埔47巷｜獨立套房招租｜可申請租補🏡,8200,12,獨立套房,,
3F/4F,淡水區-南勢埔47巷,6800,12,獨立套房,,
元/月,🏡淡水區南勢埔47巷｜獨立套房招租｜可申請租補🏡,6800,5,獨立套房,,
社會住宅包租代管,淡水區-南勢埔47巷,1300,5,,,
元/月,🚗🔥震撼開幕！淡水區沙倫路最強CP值車位開搶！,1300,7,,,
5坪,淡水區-沙崙路151巷12弄5號,13500,7,,,
3F/5F,淡水區-新民街180巷21號,11000,7,分租套房,,
6F/6F,淡水區-新民街162巷7號,11000,7,分租套房,,
4F/5F,淡水區-新民街162巷7號,11000,7,新北市淡水區中正東路8-7號~套房出租~,,
3F/5F,淡水區-新民街162巷7號,6000,5,獨立套房,,
元/月,新北市淡水區中正東路8-7號~套房出租~,6000,5,獨立套房,,
B1/3F,淡水區-中正東路8號,6000,,,,熟悉社區：市政新銳、上上寀、新美齊画世代
富麗欣,淡水區-濱海路二段,7000,7,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
尚海,淡水區-淡金路,13900,17,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,90000,80,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
海洋都心3,淡水區-新市五路三段,13600,18,,,
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,25000,25,,,
淡大溫哥華,淡水區-水源街二段,15300,18,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
大旭地,淡水區-北新路一段,8900,6,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
海洋都心No.3 Ocean city,淡水區-新市三路二段,3000,35,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,20800,28,,,台北GOGO社區近竹圍捷運站車位出租
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,1900,12,,,台北GOGO社區近竹圍捷運站車位出租
海洋都心3,淡水區-新市五路三段,20000,21.5,,,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路,25000,35,,,
海天DEFG棟,淡水區-八勢一街,72000,57,,,
淡水幸福城,淡水區-學府路,32000,46.5,,宏盛水悅/高樓層三房/平面車位/前後陽台,
鄉林山海匯,淡水區-八勢路,19960,20,,宏盛水悅/高樓層三房/平面車位/前後陽台,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
宏盛水悅,淡水區-新市三路,29000,31,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
富麗欣,淡水區-濱海路二段,29000,31,,,
尚海,淡水區-淡金路,29000,31,,,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路173巷3號,90000,80,,,
陽明悅活,淡水區-興福寮88巷,3000,6,,,
6坪,淡水區-大同路120巷,6000,5,獨立套房,,
淡大溫哥華,淡水區-水源街二段92巷5弄,25000,35,,,
淡水幸福城,淡水區-學府路51巷1弄25號,29000,31,,,
尚海,淡水區-淡金路,29000,,,,
大旭地,淡水區-北新路一段169巷,25000,,,,
宏盛水悅,淡水區-新市三路,13600,18,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
4F/6F,淡水區-鄧公路1弄,13900,17,獨立套房,,
海洋都心3,淡水區-新市五路三段,20000,21.5,,,
海天DEFG棟,淡水區-八勢一街63巷,15300,18,獨立套房,,
海洋都心No.3 Ocean city,淡水區-新市三路二段,20800,28,,,
海洋都心3,淡水區-新市五路三段,18000,35,,,
5F/5F,淡水區-學府路,72000,57,,,
鄉林山海匯,淡水區-八勢路50巷51號,19960,20,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
富麗欣,淡水區-濱海路二段,7000,7,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
2F/4F,淡水區-仁愛街2巷,8900,8,免仲介費近淡水站可補可寵物附基本傢俱裝潢套房一級變頻冷暖氣,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
2F/2F,淡水區-民族路35巷,6500,6,可租補~淡江大學商管旁~2樓學生套房出租..還有1間,,
5F/5F,淡水區-鄧公路32巷,5500,5,分租套房,,
2F/6F,淡水區-北新路182巷21弄,14500,14.1,獨立套房,,
清淞,淡水區-淡金路,5500,5.5,分租套房,,
2F/6F,淡水區-學府路205巷1弄,28000,42.7,,,
台北灣一期星海灣大樓區,淡水區-新民街一段,7000,6,分租套房,,
4F/6F,淡水區-學府路205巷,49999,81.7,淡江大學金雞母、淡大菁英4間電梯套房，獨立洗衣機，重新裝潢過,,
整棟/5F,淡水區-中正東路二段143巷12弄,8300,10,分租套房,,
6F/7F,淡水區-北新路184巷,22999,32,,,
無,淡水區-新市二路一段,23000,19.2,,,
南加州,淡水區-民權路23號,20800,19.4,,,
海洋都心No.3 Ocean city,淡水區-新市五路三段,27000,35.4,,,
海天,淡水區-八勢一街63巷,27000,,,,熟悉社區：市政新銳、上上寀、新美齊画世代
海天DEFG棟,淡水區-八勢一街,7000,7,,宏盛水悅/高樓層三房/平面車位/前後陽台,
宏盛水悅,淡水區-新市三路,25000,35,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,13900,17,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,
淡水幸福城,淡水區-學府路,15300,18,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,
海洋都心3,淡水區-新市五路三段,29000,31,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
海洋都心No.3 Ocean city,淡水區-新市三路二段,8900,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
尚海,淡水區-淡金路,13600,18,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,台北GOGO社區近竹圍捷運站車位出租
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,1900,12,,,台北GOGO社區近竹圍捷運站車位出租
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,72000,57,,,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路,3000,6,,,
鄉林山海匯,淡水區-八勢路,90000,80,,,
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,18000,35,,,
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,6000,5,,,
大旭地,淡水區-北新路一段,19960,20,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
淡大溫哥華,淡水區-水源街二段,20800,28,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
富麗欣,淡水區-濱海路二段,20000,21.5,,,
海洋都心3,淡水區-新市五路三段,32000,46.5,,宏盛水悅/高樓層三房/平面車位/前後陽台,
海天DEFG棟,淡水區-八勢一街,32000,46.5,,宏盛水悅/高樓層三房/平面車位/前後陽台,
宏盛水悅,淡水區-新市三路,32000,46.5,分租套房,,
5F/5F,淡水區-學府路205巷,10000,8,獨立套房,,
淡大金雞母二期A,淡水區-北新路184巷,26000,37,,,
日月星辰,淡水區-濱海路一段306巷9弄,20000,15.8,,,
宏盛海都,淡水區-新市三路二段,9000,7,分租套房,,
2F/4F,淡水區-民族路,19900,38,"步行2分鍾到捷運站精心設計優美套房,",,
Park 99,淡水區-義山路一段401巷,9000,8,獨立套房,,
5F/5F,淡水區-平遠街1號,5500,6,獨立套房,,
2F/5F,淡水區-英專路,18000,28.1,,,
海洋都心,淡水區-新市五路三段238號,9000,5,分租套房,,
1F/5F,淡水區-學府路172巷,5500,6,雅房,,
2F/2F,淡水區-自強路,20000,23.4,,,
台北灣 銀河,淡水區-新市一路一段,20000,28,,,
江南大宅,淡水區-沙崙路,7000,18,獨立套房,紅樹林捷運/台北雪梨16樓海景精品宅18坪/含管/可租補,
4F/5F,淡水區-學府路136巷40弄,21000,18,新北關渡自強路套房出租-近北藝大,紅樹林捷運/台北雪梨16樓海景精品宅18坪/含管/可租補,
台北雪梨,淡水區-中正東路一段,7500,4,分租套房,,
1F/4F,淡水區-自強路337巷47號,21000,34.6,,,
海洋都心2,淡水區-新市三路二段,7000,8,淡大北新路【三荷院】優質電梯獨立套房,,
2F/5F,淡水區-新民街53巷,9500,11,獨立套房,,
三荷院,淡水區-北新路192號,5500,4,分租套房,,
2F/3F,淡水區-水源街二段,8600,8,淡大圖側2分半高樓層無敵山海景和室套房！,,
2F/4F,淡水區-新民街,5500,5.8,分租套房,,
5F/5F,淡水區-水源街二段92巷,24000,17.5,,,
新品苑,淡水區-新市三路一段,9000,7,分租套房,,
2F/4F,淡水區-民族路,28000,22.3,,,
甜水郡名人湯,淡水區-濱海路一段306巷,59800,90,,,
水立方,淡水區-淡金路,25000,18.8,,,
台北灣 銀河,淡水區-新市一路一段,28000,23,獨立套房,,
麗陽,淡水區-鄧公路,6500,6,👑近真理獨立洗衣機全新變頻冷氣溫馨套房可以租❗❗❗,,
4F/5F,淡水區-北新路,6000,6,分租套房,,
4F/5F,淡水區-新民街180巷,6000,,,,熟悉社區：新巨蛋、金世紀錄大樓、馥華時尚會館、漢江春曉、巨蛋東京花園廣場、翔譽天心大樓、新巨蛋、鑑築
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,25000,35,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
海洋都心3,淡水區-新市五路三段,19960,20,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
淡水幸福城,淡水區-學府路,8900,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
富麗欣,淡水區-濱海路二段,25000,25,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
大旭地,淡水區-北新路一段,13600,18,,,
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,20000,21.5,,,
海天DEFG棟,淡水區-八勢一街,20800,28,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,
海洋都心No.3 Ocean city,淡水區-新市三路二段,90000,80,,,
海洋都心3,淡水區-新市五路三段,6000,5,,,
淡大溫哥華,淡水區-水源街二段,32000,46.5,,宏盛水悅/高樓層三房/平面車位/前後陽台,
鄉林山海匯,淡水區-八勢路,1900,12,,宏盛水悅/高樓層三房/平面車位/前後陽台,台北GOGO社區近竹圍捷運站車位出租
宏盛水悅,淡水區-新市三路,29000,31,,,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路,3000,7,,,
尚海,淡水區-淡金路,7000,17,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,13900,17,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,13900,17,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
海洋都心3,淡水區-新市五路三段,13900,17,,,
台北灣2觀海/台北灣B區大樓區,淡水區-新市一路一段,30000,53.9,,,
宏盛水悅,淡水區-新市三路一段,18000,28.1,真理大學對面巷子～學生套房～多間可選,,
海洋都心,淡水區-新市五路三段238號,5000,5,分租套房,淡大學生宿舍出租英專路/3樓,
2F/5F,淡水區-新民街152巷6弄8號,7000,7,獨立套房,淡大學生宿舍出租英專路/3樓,
3F/5F,淡水區-英專路79巷12號,85000,71.3,,,
大隱小藍海,淡水區-中正東路二段107巷,9000,5,(重新開放)免仲介費，金房東電梯獨立套房，近淡江大學,,
1F/5F,淡水區-學府路172巷,7500,6.3,獨立套房,,淡江大學旁四房家具齊全電梯大樓
金房東,淡水區-學府路205巷6號,17800,50,,,淡江大學旁四房家具齊全電梯大樓
巧克力花園,淡水區-水源街二段177巷,6500,6,大忠街郵局對面巷內鬧中取靜的優質套房,,
4F/6F,淡水區-水源街二段,6500,5,獨立套房,,
淡大西雅圖,淡水區-大忠街24巷7號,20000,32.4,,,
台北灣三期江南頤和,淡水區-濱海路三段148巷,6000,6,分租套房,,
4F/5F,淡水區-新民街180巷,26000,19.9,,,
台北灣 銀河,淡水區-新市一路一段,5500,5,分租套房,,
2F/5F,淡水區-英專路,7000,5,分租套房,,
3F/5F,淡水區-真理街3巷23號,23000,16.5,,,
馥樂樂,淡水區-中山北路三段41號,5500,6,雅房,,
2F/2F,淡水區-自強路,23900,19,,,
南加州,淡水區-民權路,7000,8,504超乾淨套房專人收垃圾高速網路智慧電視,,
2F/5F,淡水區-新民街53巷,11500,8,👑淡大財庫稀有大坪數全新滾筒洗衣機家具獨立套房可以租❗❗❗,,
5F/5F,淡水區-英專路,13000,8,獨立套房,,
淡大財庫,淡水區-學府路136巷,11000,6,獨立套房,,
1F/5F,淡水區-學府路205巷1弄,6800,6,分租套房,,
4F/5F,淡水區-新民街226巷16號,5500,4,分租套房,,
2F/3F,淡水區-水源街二段,24000,17.5,,,
新品苑,淡水區-新市三路一段,28000,22.3,,,
甜水郡名人湯,淡水區-濱海路一段306巷,21000,34.6,,,
海洋都心2,淡水區-新市三路二段,52000,64.4,,,
水紀元,淡水區-民權路,28000,25.3,,,
天琴,淡水區-濱海路二段202巷65弄,28000,,,,熟悉社區：新巨蛋、金世紀錄大樓、馥華時尚會館、漢江春曉、巨蛋東京花園廣場、翔譽天心大樓、新巨蛋、鑑築
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,18000,35,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,29000,31,,宏盛水悅/高樓層三房/平面車位/前後陽台,
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,32000,46.5,,宏盛水悅/高樓層三房/平面車位/前後陽台,
尚海,淡水區-淡金路,15300,18,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,宏盛水悅/高樓層三房/平面車位/前後陽台,
宏盛水悅,淡水區-新市三路,1900,12,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,台北GOGO社區近竹圍捷運站車位出租
海洋都心No.3 Ocean city,淡水區-新市三路二段,90000,80,,,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路,20000,21.5,,,
海天DEFG棟,淡水區-八勢一街,13900,17,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,72000,57,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
海洋都心3,淡水區-新市五路三段,20800,28,,,
鄉林山海匯,淡水區-八勢路,25000,35,,,
淡水幸福城,淡水區-學府路,25000,25,,,
淡大溫哥華,淡水區-水源街二段,19960,20,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
大旭地,淡水區-北新路一段,3000,6,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
富麗欣,淡水區-濱海路二段,13600,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,8900,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,8900,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,8900,8,,,
宏盛蒙德里安,淡水區-沙崙路一段126巷,8500,10.5,僅限女性套房一卡皮箱即可入住,,
海景天下二期大樓區,淡水區-大忠街,9000,9,獨立套房,,
真理學院大樓,淡水區-新生街15號,5500,5,分租套房,,
5F/5F,淡水區-大忠街123號,26000,19.1,,,
台北灣-江南大宅,淡水區-沙崙路一段,5000,5,(重新開放)免仲介費，金房東電梯獨立套房，近淡江大學,,
2F/5F,淡水區-新民街152巷6弄8號,7500,6.3,獨立套房,,
金房東,淡水區-學府路205巷6號,26000,41.4,,,
黛安娜大樓,淡水區-新春街,47999,63.4,,,
整棟/3F,淡水區-興福寮66巷,17000,17.4,,頂樓加蓋/4F,泰隆社區
泰隆社區,淡水區-鄧公路30巷2弄,2000,1,獨立套房,,
寶鏵江山,淡水區-北新路141巷26號,26000,51,,,
聯園璞玉/聯園樸麗,淡水區-新市一路一段99巷,8500,10.6,獨立套房,,
5F/5F,淡水區-新民街180巷7弄,22500,25,,,
W丰上,淡水區-中山北路三段31巷,16000,12.7,獨立套房,,
關渡山水,淡水區-民權路,6000,5,分租套房,,
2F/5F,淡水區-新民街53巷,52000,64.4,,,
水紀元,淡水區-民權路,22000,14,,,
漫活時代1,淡水區-竿蓁街,11000,9.7,笑傲江河商務套房有大陽台免仲介費可租補,,
笑傲江河,淡水區-北新路169巷,17000,22,,,
好旺角海景,淡水區-新民街120巷,18000,26,,,
笑傲江河,淡水區-北新路169巷87號,28000,37.3,,,
台北灣-江南大宅,淡水區-沙崙路一段,11000,5.1,,,
1F/5F,淡水區-學府路205巷1弄,30000,53.9,,,
宏盛水悅,淡水區-新市三路一段,7500,4,分租套房,,
1F/4F,淡水區-自強路337巷47號,6500,6,分租套房,,
4F/6F,淡水區-水源街二段,24000,34.6,,,
宏盛水悅,淡水區-新市三路一段,21000,22.9,,,✨鄰近竹圍捷運2樓公寓大使用空間大✨
2F/4F,淡水區-民權一街17巷,15000,12,,,
7F/7F,淡水區-淡海路189巷,33000,46.7,,,
台北灣一期星海灣大樓區,淡水區-新民街一段,33000,,,,熟悉社區：新巨蛋、金世紀錄大樓、馥華時尚會館、漢江春曉、巨蛋東京花園廣場、翔譽天心大樓、新巨蛋、鑑築
大旭地,淡水區-北新路一段,25000,35,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,8900,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
淡水幸福城,淡水區-學府路,19960,20,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,20800,28,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
富麗欣,淡水區-濱海路二段,3000,6,,,
海洋都心3,淡水區-新市五路三段,29000,31,,,
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,13600,18,,,
尚海,淡水區-淡金路,72000,57,,,
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,6000,5,,,
鄉林山海匯,淡水區-八勢路,18000,35,,宏盛水悅/高樓層三房/平面車位/前後陽台,
淡大溫哥華,淡水區-水源街二段,32000,46.5,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,宏盛水悅/高樓層三房/平面車位/前後陽台,
