標題/社區,地址,價格,坪數,房型,樓層,建物類型
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,15300,18,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,宏盛水悅/高樓層三房/平面車位/前後陽台,
宏盛水悅,淡水區-新市三路,13900,17,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
海洋都心No.3 Ocean city,淡水區-新市三路二段,20000,21.5,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,台北GOGO社區近竹圍捷運站車位出租
海洋都心3,淡水區-新市五路三段,1900,12,,,台北GOGO社區近竹圍捷運站車位出租
海天DEFG棟,淡水區-八勢一街,90000,80,,,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路,25000,25,,,
大旭地,淡水區-北新路一段,7000,7,,,
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,7000,7,,,
依現場社區名稱,淡水區-淡海路189巷,6000,6,分租套房,,
4F/5F,淡水區-新生街108巷,7000,5.5,分租套房,,
2F/6F,淡水區-學府路205巷1弄,32000,42.7,,,
水天靚2,淡水區-沙崙路,25000,22.7,,,
宏盛海都 2期,淡水區-新市三路二段,26000,17.5,,,
新品苑,淡水區-新市三路一段,26000,32.8,,,
富庭峰築家,淡水區-沙崙路201巷,28000,31.9,,,
關渡大國二期,淡水區-民族路31巷,29500,25.7,,,
合康嘉年華,淡水區-新市一路一段,16500,21.6,,,
巧克力花園,淡水區-水源街二段177巷,15000,16.1,獨立套房,,
清淞,淡水區-淡金路,11000,8,飯店式全新獨立衛浴套房、靠近淡江大學,,
5F/5F,淡水區-新民街63巷2號,9500,6.5,獨立套房,,
3F/4F,淡水區-北投子路87號,5700,6,獨立套房,,
5F/5F,淡水區-水源街二段92巷,22500,15.9,,,
南加州,淡水區-民權路,13000,10,獨立套房,,台灣朗居浩庭【台北|萬通國際社區】租金含管含稅含2車位
摩天31,淡水區-中山北路一段,85000,67.4,,,台灣朗居浩庭【台北|萬通國際社區】租金含管含稅含2車位
萬通國際/ 陽明悅活,淡水區-興福寮88巷,21000,21.5,,,
戀戀山海,淡水區-沙崙路,22000,28.1,,,
宏盛海都 2期,淡水區-新市三路二段,24000,27,🐻MVP社宅∥可租補∥近淡大機能佳套房,,
鴻灃青,淡水區-濱海路一段306巷60弄,6500,7,🐻MVP社宅∥可租補∥翰林館學生套房,,
4F/5F,淡水區-北新路182巷41弄,6300,6,🐻MVP社宅∥可租補∥金房東獨立套房,,
翰林館,淡水區-北新路182巷5弄,7000,5,獨立套房,,金房東社區
金房東社區,淡水區-水源街二段74巷,38000,35,淡江有約大套房,,
海德公園,淡水區-中山北路二段381巷,9800,10,獨立套房,,
淡江有約,淡水區-淡金路一段537號,55000,81.2,,,
學府華廈,淡水區-學府路,23000,34.9,,,
名軒海樂地,淡水區-沙崙路二段831號,23000,27.2,,,紅樹林捷運♡淡水捷運♡公寓2樓♡寵可談
鴻灃青,淡水區-濱海路一段306巷60弄,6000,8,分租套房,,紅樹林捷運♡淡水捷運♡公寓2樓♡寵可談
2F/4F,淡水區-中正東路一段,6000,8,分租套房,,
無,淡水區-大忠街79號,6000,,,,熟悉社區：新巨蛋、金世紀錄大樓、馥華時尚會館、漢江春曉、巨蛋東京花園廣場、翔譽天心大樓、新巨蛋、鑑築
淡大溫哥華,淡水區-水源街二段,72000,57,,,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路,20800,28,,,
鄉林山海匯,淡水區-八勢路,19960,20,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
海洋都心3,淡水區-新市五路三段,20000,21.5,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
海天DEFG棟,淡水區-八勢一街,25000,35,,,
尚海,淡水區-淡金路,18000,35,,,
淡水幸福城,淡水區-學府路,3000,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,8900,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,25000,25,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,13600,18,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
大旭地,淡水區-北新路一段,13900,17,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,7000,7,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,宏盛水悅/高樓層三房/平面車位/前後陽台,
海洋都心3,淡水區-新市五路三段,32000,46.5,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,宏盛水悅/高樓層三房/平面車位/前後陽台,
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,15300,18,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,宏盛水悅/高樓層三房/平面車位/前後陽台,
宏盛水悅,淡水區-新市三路,90000,80,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,
海洋都心No.3 Ocean city,淡水區-新市三路二段,6000,5,,,台北GOGO社區近竹圍捷運站車位出租
淡大溫哥華,淡水區-水源街二段,1900,12,,,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路,1900,8,分租套房,,
無,淡水區-大忠街79號,15800,17.6,,,淡捷英專生活圈公寓四樓超值大三房
4F/4F,淡水區-英專路28巷2弄,20000,15,,,✨沙崙電梯公寓一房一廳採光極佳✨
康和紅樹林,淡水區-中正東路二段,15000,12,,,✨沙崙電梯公寓一房一廳採光極佳✨
7F/7F,淡水區-淡海路189巷,48000,69.6,,,
無,淡水區-民權路,23000,25,,,
名軒海樂地,淡水區-沙崙路二段,13500,18.5,,,
3F/5F,淡水區-中山北路一段,31000,55.1,A+淡大首選~分租套房可租補407,,
台北灣一期星海灣大樓區,淡水區-新民街一段,6000,6,分租套房,,
4F/5F,淡水區-學府路205巷1弄,3000,35.1,,,
6坪,淡水區-大同路120巷,18000,35.1,真理大學大套房+小客廳+流理臺+獨立洗衣機陽台,,
來來香榭,淡水區-新民街222巷16弄,8000,8,分租套房,,
5F/5F,淡水區-新民街180巷,1800,9.9,,,
海洋都心,淡水區-新市五路三段,21000,28,,,
宏盛海都 2期,淡水區-新市三路二段,23800,39,,,
普羅旺斯,淡水區-新市一路三段,27000,54.7,,,
宏盛水悅,淡水區-新市一路,27000,26.5,,,
綠山棧,淡水區-濱海路一段,20000,30,,,
幸福奇蹟,淡水區-沙崙路216巷,18000,32.1,,,
宏英加州大樓,淡水區-新春街126巷,22800,17.2,,,
普羅旺斯,淡水區-新市一路三段,23000,26.8,,,
靜江悅,淡水區-中山北路二段188巷,22500,15.9,,,租客免仲介費，社區樓下商店街，全聯，輕軌V11站。
南加州,淡水區-民權路,25000,46.1,,,租客免仲介費，社區樓下商店街，全聯，輕軌V11站。
海洋都心,淡水區-新市五路三段,28000,31.7,,,
關渡大國二期,淡水區-民族路31巷32號,26000,5,分租套房,,
3F/8F,淡水區-興福寮66巷,5000,5,分租套房,,
3F/5F,淡水區-水源街二段92巷5弄,24000,22.7,,,近淡水捷運佰萬裝潢公寓二樓三房
海洋都心,淡水區-新市五路三段,20000,27.3,,,近淡水捷運佰萬裝潢公寓二樓三房
2F/5F,淡水區-平遠街,22000,20.7,,,
吉美悅洋,淡水區-中正路二段,23800,19.4,,,
名軒海樂地,淡水區-沙崙路二段,23800,,,,熟悉社區：新巨蛋、金世紀錄大樓、馥華時尚會館、漢江春曉、巨蛋東京花園廣場、翔譽天心大樓、新巨蛋、鑑築
宏盛水悅,淡水區-新市三路,7000,7,,,
淡水幸福城,淡水區-學府路,13600,18,,,
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,90000,80,,,
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,20000,21.5,,,
海天DEFG棟,淡水區-八勢一街,1900,12,,,台北GOGO社區近竹圍捷運站車位出租
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,72000,57,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
台北GOGO,淡水區-民權路,8900,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
鄉林山海匯,淡水區-八勢路,20800,28,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,25000,25,,,
大旭地,淡水區-北新路一段,13900,17,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
富麗欣,淡水區-濱海路二段,29000,31,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
尚海,淡水區-淡金路,18000,35,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,
淡大溫哥華,淡水區-水源街二段,15300,18,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,宏盛水悅/高樓層三房/平面車位/前後陽台,
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,32000,46.5,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,宏盛水悅/高樓層三房/平面車位/前後陽台,
海洋都心No.3 Ocean city,淡水區-新市三路二段,25000,35,,宏盛水悅/高樓層三房/平面車位/前後陽台,
宏盛水悅,淡水區-新市三路,25000,35,,,
淡水幸福城,淡水區-學府路,25000,35,,,
1F/1F,淡水區-原德路109巷,8000,10,,,
1F/1F,淡水區-原德路109巷,22000,23.5,,,
宏普有逸天,淡水區-新市二路一段,23000,23.5,,,
2F/3F,淡水區-英專路28巷2弄,23000,29.3,,,
米蘭藝術館,淡水區-北新路,25020,28,,,
台北灣 銀河,淡水區-新市一路一段,16000,23.3,,,
4F/4F,淡水區-新生街55巷,28000,25.3,🌟淡大捷森堡🍀精緻套房、露台空間✨免爬樓梯👌拎包入住,,
天琴,淡水區-濱海路二段202巷65弄,16800,7.2,獨立套房,,
淡大捷森堡,淡水區-學府路136巷,23500,39.7,🏠北新商圈分租套房🏠近淡江大學🏠生活便利,,
海洋都心,淡水區-新市五路三段,6500,7,獨立套房,,
5F/7F,淡水區-北新路,8500,7,分租套房,,
淡大財庫,淡水區-學府路136巷,4500,7,獨立套房,,🏠淡大財庫🏠電梯大樓*裝潢獨立套房🏠可租補
6F/14F,淡水區-學府路136巷,12000,7,獨立套房,,🏠淡大財庫🏠電梯大樓*裝潢獨立套房🏠可租補
淡大財庫,淡水區-學府路136巷,22000,16,*新環境*近淡水捷運站.獨立陽台套房,,
海揚,淡水區-中正東路一段3巷14弄,7000,6,🏠景觀溫馨舒適🏠【淡大財庫】獨立套房.💎可租補,,
新環境,淡水區-學府路128巷,12000,7,摩納哥★輕軌旁★優質獨立套房(可租補),,
淡大財庫,淡水區-學府路136巷,17000,9.3,獨立套房,,
摩納哥,淡水區-淡金路38巷,19500,14.3,,,
聖塔露琪亞夢幻區,淡水區-淡金路,12000,6,分租套房,,
3F/5F,淡水區-新春街,16000,8,小資租補精緻全配有窗套房二人共住皆可租補,,
3F/5F,淡水區-新春街,11000,5,小資租補精緻全配有窗套房二人共住皆可租補,,
4F/4F,淡水區-中山北路一段180巷,20000,27.3,,,
2F/5F,淡水區-平遠街,59800,77.8,可寵可租補｜近淡大魔術空間套房｜小而美｜甜甜價,,
水立方,淡水區-淡金路,6600,4.3,獨立套房,,
淡水大學城,淡水區-學府路,20000,28.6,獨立套房,,
鴻灃青,淡水區-濱海路一段306巷60弄68號,15000,27,獨立套房,,
心航線,淡水區-文化路,21000,27,,,全新精裝潢台北灣-銀河超新社區
漫活時代,淡水區-竿蓁二街19巷,21500,15,,,全新社區全新精裝修進淡江大橋台北灣銀河
台北灣 銀河,淡水區-新市一路260號,21500,15,獨立套房,,全新社區全新精裝修進淡江大橋台北灣銀河
台北灣 銀河,淡水區-新市一路260號,21500,,,,
大旭地,淡水區-北新路一段,18000,35,,,
海天DEFG棟,淡水區-八勢一街,6000,5,,,
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,7000,7,,,
淡大溫哥華,淡水區-水源街二段,72000,57,,,
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,29000,31,,,
鄉林山海匯,淡水區-八勢路,20800,28,,,
尚海,淡水區-淡金路,8900,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
海洋都心3,淡水區-新市五路三段,3000,6,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,25000,35,,,台北GOGO社區近竹圍捷運站車位出租
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,1900,12,,,台北GOGO社區近竹圍捷運站車位出租
淡水幸福城,淡水區-學府路,90000,80,,,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路,15300,18,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
海洋都心No.3 Ocean city,淡水區-新市三路二段,32000,46.5,,宏盛水悅/高樓層三房/平面車位/前後陽台,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
富麗欣,淡水區-濱海路二段,13600,18,,宏盛水悅/高樓層三房/平面車位/前後陽台,
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,25000,25,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
大旭地,淡水區-北新路一段,20000,21.5,,,
海天DEFG棟,淡水區-八勢一街,20000,21.5,,,圭柔山大空間公寓三房，可租補入戶籍籍
4F/4F,淡水區-淡金路三段317號,24000,25.6,,,
日月星辰,淡水區-濱海路一段306巷9弄39號,23300,43.7,,,
台北灣2觀海/台北灣B區透天區,淡水區-新市一路一段,18500,20.3,,,
台北灣-江南大宅,淡水區-沙崙路一段,20000,26.5,,,
台北灣-江南大宅,淡水區-沙崙路一段,24000,17,,,
鴻灃青,淡水區-濱海路一段306巷60弄,22800,29.5,,,
普羅旺斯,淡水區-新市一路三段,21000,30.4,,,原徳路公寓三樓一卡皮箱拎包入住全套傢俱家電七分鐘到淡水捷運站
馥樂樂,淡水區-中山北路三段,18000,21,,,原徳路公寓三樓一卡皮箱拎包入住全套傢俱家電七分鐘到淡水捷運站
3F/5F,淡水區-原德路,20000,37.8,,,
淡水小城,淡水區-學府路136巷,23000,17,,,
台北灣-江南大宅,淡水區-沙崙路一段,25000,33.1,,,
聯園璞玉/聯園樸麗,淡水區-新市一路一段99巷,32000,19,,,
觀海極品,淡水區-民族路31巷,15000,7,淡大旁套房2樓，水電全包,,
3F/3F,淡水區-八勢路22巷,5500,25,分租套房,,
2F/5F,淡水區-學府路,5500,25,,,
2F/5F,淡水區-學府路,8500,7,溫馨套房近真理大學適合學生上班族,,
5F/6F,淡水區-學府路,5500,8,分租套房,,
3F/5F,淡水區-新民街53巷,23000,26.8,,,
水天靚,淡水區-沙崙路,22000,28.8,,,
心之界,淡水區-濱海路三段148巷50弄,31000,33,,,
佳瑞心公園,淡水區-義山路一段401巷,23000,34,,,
名軒海樂地,淡水區-沙崙路二段,22000,36.5,,,
鴻灃青,淡水區-濱海路一段306巷60弄,22500,44,,,
宏盛水悅,淡水區-新市三路一段,23800,31.9,,,
麗景,淡水區-中正東路一段,7000,8,分租套房,,
無,淡水區-北新路141巷,18500,16.4,,,
海洋都心,淡水區-新市五路三段,22000,15.8,,,
海洋都心,淡水區-新市五路三段,28000,20.8,,,❤️電梯大樓❤️可租補入籍報稅❤️免仲介費
宏盛海都 2期,淡水區-新市三路二段,23000,25,,,❤️電梯大樓❤️可租補入籍報稅❤️免仲介費
名軒海樂地,淡水區-沙崙路二段,23000,,,,
海洋都心3,淡水區-新市五路三段,90000,80,,,
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,72000,57,,,
鄉林山海匯,淡水區-八勢路,15300,18,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,19960,20,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
海洋都心No.3 Ocean city,淡水區-新市三路二段,13900,17,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,宏盛水悅/高樓層三房/平面車位/前後陽台,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
富麗欣,淡水區-濱海路二段,32000,46.5,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,宏盛水悅/高樓層三房/平面車位/前後陽台,
海洋都心3,淡水區-新市五路三段,25000,25,,宏盛水悅/高樓層三房/平面車位/前後陽台,
宏盛水悅,淡水區-新市三路,20000,21.5,,,
大旭地,淡水區-北新路一段,29000,31,,,
尚海,淡水區-淡金路,6000,5,,,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路,13600,18,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
淡大溫哥華,淡水區-水源街二段,8900,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,25000,35,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,3000,6,,,
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,7000,7,,,
海洋都心3,淡水區-新市五路三段,7000,7,,,
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,7000,8,獨立套房,,
淡江有約,淡水區-淡金路一段,28800,8,獨立套房,,
福格大飯店,淡水區-學府路89號,11000,6.8,,,
淡大財庫,淡水區-學府路136巷,26000,20.5,,,
合謙飛時代,淡水區-濱海路一段,6000,8,雅房,,一樓免爬梯❤️新生公寓大三房❤️近淡水國中文化國小新生消防隊
無,淡水區-北新路141巷6號,17000,24.5,,,一樓免爬梯❤️新生公寓大三房❤️近淡水國中文化國小新生消防隊
2F/3F,淡水區-新生街,57500,40,,,
紅樹林鄉林山海匯,淡水區-八勢路50巷,25000,18,,,
綠山棧,淡水區-濱海路一段,10500,11,獨立套房,,
海景天下二期大樓區,淡水區-大忠街,25000,30.7,,,
關渡山水,淡水區-民權路,20200,25.1,室內獨立溫泉♨️可租補-入籍-寵物可談💖清淞獨立套房含管,,
海洋都心,淡水區-新市五路三段,14000,8.5,獨立套房,,
清淞,淡水區-淡金路,17000,28.1,分租套房,,
菓嶺山莊,淡水區-小坪頂66巷,6800,56.4,分租套房,,
3F/3F,淡水區-水源街一段18巷,36000,56.4,,,
水源帝寶,淡水區-水源街一段,25000,40,近淡江大學邊間大套房附機車停車位,,
青山麗緻,淡水區-英專路,7100,7,分租套房,,
3F/5F,淡水區-水源街二段,21500,29.3,,,
淡江學園,淡水區-水源街二段120巷,22000,17.6,,,
新品苑,淡水區-新市三路一段,52000,45.5,,,"家樂福附近綠線G4站電梯大樓,高樓層視野佳,環境清優^-^"
水紀元,淡水區-民權路,27000,33.5,,,"家樂福附近綠線G4站電梯大樓,高樓層視野佳,環境清優^-^"
里御大砌,淡水區-濱海路一段306巷60弄,88000,67.4,,,
27F/29F,淡水區-興福寮88巷,26000,35,真理大學溫馨套房,,
群祥泰,淡水區-中山北路三段16巷,7500,34.6,真理大學溫馨套房,,
真理街3巷,淡水區-真理街3巷,22000,33.8,✨原德路・新裝潢大套房｜近捷運・近淡水國小✨,,
馥樂樂,淡水區-中山北路三段49號,13000,10,🏡仁愛街206公寓｜全新裝潢套房｜交通便利、生活機能佳！,,🏡仁愛街206公寓｜全新裝潢套房｜交通便利、生活機能佳！
1F/5F,淡水區-大智街46巷,10000,5,✨全新套房｜近捷運3分鐘｜超大陽台・獨立曬衣空間✨,,🏡仁愛街206公寓｜全新裝潢套房｜交通便利、生活機能佳！
2F/5F,淡水區-仁愛街999號,14000,10,✨近捷運・近市場・淡江大學・可養寵物套房｜地點便利✨,,
3F/5F,淡水區-中山路72巷6弄,10000,6,分租套房,,
5F/5F,淡水區-中山路129巷,13000,7,分租套房,,
4F/5F,淡水區-原德路,13000,,,,
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,20000,21.5,,,台北GOGO社區近竹圍捷運站車位出租
海天DEFG棟,淡水區-八勢一街,3000,6,,,
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,72000,57,,,
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,25000,25,,,
大旭地,淡水區-北新路一段,6000,5,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
富麗欣,淡水區-濱海路二段,8900,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,宏盛水悅/高樓層三房/平面車位/前後陽台,近關渡竹圍捷運馬偕醫院旁別墅社區套房
淡大溫哥華,淡水區-水源街二段,32000,46.5,近關渡竹圍捷運馬偕醫院旁別墅社區套房,宏盛水悅/高樓層三房/平面車位/前後陽台,近關渡竹圍捷運馬偕醫院旁別墅社區套房
淡水幸福城,淡水區-學府路,90000,80,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
海洋都心3,淡水區-新市五路三段,15300,18,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,
海洋都心No.3 Ocean city,淡水區-新市三路二段,13600,18,,,
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,13600,18,,,
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,13600,8,分租套房,,
1F/5F,淡水區-大智街46巷,22000,36.4,🌈輕軌摩納哥喜樂套房,,
佳昂晴海,淡水區-新市一路一段331巷,17000,13.5,獨立套房,,
摩納哥,淡水區-淡金路38巷,14000,9,分租套房,頂樓加蓋/4F,
頂樓加蓋/4F,淡水區-自強路201巷,12500,9,分租套房,,
3F/3F,淡水區-民族路17巷2弄8號,32000,46,,,
老莊大廈,淡水區-自強路,28000,22,,近竹圍捷運關渡山水高樓三房🔥社宅租補/可寵🔥五泰小陳,
台北灣 銀河,淡水區-新市一路一段,25000,24.5,,近竹圍捷運關渡山水高樓三房🔥社宅租補/可寵🔥五泰小陳,
關渡山水,淡水區-民權路,26000,23.8,,,
有富SUNDAY,淡水區-八勢一街,21000,18.9,,,
1F/2F,淡水區-民生路113巷3弄,21000,18.9,,,
1F/2F,淡水區-民生路113巷3弄,25000,17.2,,,
秀山莊,淡水區-中正東路二段143巷12弄,33000,41.9,,,
幸福新城C棟,淡水區-民權路,9700,7,獨立套房,,
5F/6F,淡水區-民生路9巷1弄,26000,23.8,,,
