標題/社區,地址,價格,坪數,房型,建物類型,建物類型_新
宏盛水悅,淡水區-新市三路,13900.0,17.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,20000.0,21.5,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,台北GOGO社區近竹圍捷運站車位出租,其他
海洋都心3,淡水區-新市五路三段,1900.0,12.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
海天DEFG棟,淡水區-八勢一街,90000.0,80.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
台北GOGO,淡水區-民權路,25000.0,25.0,未知,,其他
大旭地,淡水區-北新路一段,7000.0,7.0,未知,,其他
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,7000.0,7.0,未知,,其他
依現場社區名稱,淡水區-淡海路189巷,6000.0,6.0,分租套房,,其他
4F/5F,淡水區-新生街108巷,7000.0,5.5,分租套房,,其他
2F/6F,淡水區-學府路205巷1弄,32000.0,42.7,未知,,其他
水天靚2,淡水區-沙崙路,25000.0,22.7,未知,,其他
宏盛海都 2期,淡水區-新市三路二段,26000.0,17.5,未知,,其他
新品苑,淡水區-新市三路一段,26000.0,32.8,未知,,其他
富庭峰築家,淡水區-沙崙路201巷,28000.0,31.9,未知,,其他
關渡大國二期,淡水區-民族路31巷,29500.0,25.7,未知,,其他
合康嘉年華,淡水區-新市一路一段,16500.0,21.6,未知,,其他
巧克力花園,淡水區-水源街二段177巷,15000.0,16.1,獨立套房,,其他
清淞,淡水區-淡金路,11000.0,8.0,飯店式全新獨立衛浴套房、靠近淡江大學,,其他
5F/5F,淡水區-新民街63巷2號,9500.0,6.5,獨立套房,,其他
3F/4F,淡水區-北投子路87號,5700.0,6.0,獨立套房,,其他
5F/5F,淡水區-水源街二段92巷,22500.0,15.9,未知,,其他
南加州,淡水區-民權路,13000.0,10.0,獨立套房,台灣朗居浩庭【台北|萬通國際社區】租金含管含稅含2車位,其他
摩天31,淡水區-中山北路一段,85000.0,67.4,未知,台灣朗居浩庭【台北|萬通國際社區】租金含管含稅含2車位,其他
萬通國際/ 陽明悅活,淡水區-興福寮88巷,21000.0,21.5,未知,,其他
戀戀山海,淡水區-沙崙路,22000.0,28.1,未知,,其他
宏盛海都 2期,淡水區-新市三路二段,24000.0,27.0,🐻MVP社宅∥可租補∥近淡大機能佳套房,,其他
鴻灃青,淡水區-濱海路一段306巷60弄,6500.0,7.0,🐻MVP社宅∥可租補∥翰林館學生套房,,其他
4F/5F,淡水區-北新路182巷41弄,6300.0,6.0,🐻MVP社宅∥可租補∥金房東獨立套房,,其他
翰林館,淡水區-北新路182巷5弄,7000.0,5.0,獨立套房,金房東社區,其他
金房東社區,淡水區-水源街二段74巷,38000.0,35.0,淡江有約大套房,,其他
海德公園,淡水區-中山北路二段381巷,9800.0,10.0,獨立套房,,其他
淡江有約,淡水區-淡金路一段537號,55000.0,81.2,未知,,其他
學府華廈,淡水區-學府路,23000.0,34.9,未知,,其他
名軒海樂地,淡水區-沙崙路二段831號,23000.0,27.2,未知,紅樹林捷運♡淡水捷運♡公寓2樓♡寵可談,公寓
鴻灃青,淡水區-濱海路一段306巷60弄,6000.0,8.0,分租套房,紅樹林捷運♡淡水捷運♡公寓2樓♡寵可談,公寓
2F/4F,淡水區-中正東路一段,6000.0,8.0,分租套房,,其他
淡大溫哥華,淡水區-水源街二段,72000.0,57.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
台北GOGO,淡水區-民權路,20800.0,28.0,未知,,其他
鄉林山海匯,淡水區-八勢路,19960.0,20.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
海洋都心3,淡水區-新市五路三段,20000.0,21.5,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
海天DEFG棟,淡水區-八勢一街,25000.0,35.0,未知,,其他
尚海,淡水區-淡金路,18000.0,35.0,未知,,其他
淡水幸福城,淡水區-學府路,3000.0,8.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,8900.0,8.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,25000.0,25.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,13600.0,18.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
大旭地,淡水區-北新路一段,13900.0,17.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,7000.0,7.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
海洋都心3,淡水區-新市五路三段,32000.0,46.5,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,15300.0,18.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
宏盛水悅,淡水區-新市三路,90000.0,80.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,6000.0,5.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
淡大溫哥華,淡水區-水源街二段,1900.0,12.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
台北GOGO,淡水區-民權路,1900.0,8.0,分租套房,,其他
無,淡水區-大忠街79號,15800.0,17.6,未知,淡捷英專生活圈公寓四樓超值大三房,公寓
4F/4F,淡水區-英專路28巷2弄,20000.0,15.0,未知,✨沙崙電梯公寓一房一廳採光極佳✨,電梯大樓
康和紅樹林,淡水區-中正東路二段,15000.0,12.0,未知,✨沙崙電梯公寓一房一廳採光極佳✨,電梯大樓
7F/7F,淡水區-淡海路189巷,48000.0,69.6,未知,,其他
無,淡水區-民權路,23000.0,25.0,未知,,其他
名軒海樂地,淡水區-沙崙路二段,13500.0,18.5,未知,,其他
3F/5F,淡水區-中山北路一段,31000.0,55.1,A+淡大首選~分租套房可租補407,,其他
台北灣一期星海灣大樓區,淡水區-新民街一段,6000.0,6.0,分租套房,,其他
4F/5F,淡水區-學府路205巷1弄,3000.0,35.1,未知,,其他
6坪,淡水區-大同路120巷,18000.0,35.1,真理大學大套房+小客廳+流理臺+獨立洗衣機陽台,,其他
來來香榭,淡水區-新民街222巷16弄,8000.0,8.0,分租套房,,其他
5F/5F,淡水區-新民街180巷,1800.0,9.9,未知,,其他
海洋都心,淡水區-新市五路三段,21000.0,28.0,未知,,其他
宏盛海都 2期,淡水區-新市三路二段,23800.0,39.0,未知,,其他
普羅旺斯,淡水區-新市一路三段,27000.0,54.7,未知,,其他
宏盛水悅,淡水區-新市一路,27000.0,26.5,未知,,其他
綠山棧,淡水區-濱海路一段,20000.0,30.0,未知,,其他
幸福奇蹟,淡水區-沙崙路216巷,18000.0,32.1,未知,,其他
宏英加州大樓,淡水區-新春街126巷,22800.0,17.2,未知,,其他
普羅旺斯,淡水區-新市一路三段,23000.0,26.8,未知,,其他
靜江悅,淡水區-中山北路二段188巷,22500.0,15.9,未知,租客免仲介費，社區樓下商店街，全聯，輕軌V11站。,其他
南加州,淡水區-民權路,25000.0,46.1,未知,租客免仲介費，社區樓下商店街，全聯，輕軌V11站。,其他
海洋都心,淡水區-新市五路三段,28000.0,31.7,未知,,其他
關渡大國二期,淡水區-民族路31巷32號,26000.0,5.0,分租套房,,其他
3F/8F,淡水區-興福寮66巷,5000.0,5.0,分租套房,,其他
3F/5F,淡水區-水源街二段92巷5弄,24000.0,22.7,未知,近淡水捷運佰萬裝潢公寓二樓三房,公寓
海洋都心,淡水區-新市五路三段,20000.0,27.3,未知,近淡水捷運佰萬裝潢公寓二樓三房,公寓
2F/5F,淡水區-平遠街,22000.0,20.7,未知,,其他
吉美悅洋,淡水區-中正路二段,23800.0,19.4,未知,,其他
宏盛水悅,淡水區-新市三路,7000.0,7.0,未知,,其他
淡水幸福城,淡水區-學府路,13600.0,18.0,未知,,其他
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,90000.0,80.0,未知,,其他
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,20000.0,21.5,未知,,其他
海天DEFG棟,淡水區-八勢一街,1900.0,12.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,72000.0,57.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
台北GOGO,淡水區-民權路,8900.0,8.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
鄉林山海匯,淡水區-八勢路,20800.0,28.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,25000.0,25.0,未知,,其他
大旭地,淡水區-北新路一段,13900.0,17.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
富麗欣,淡水區-濱海路二段,29000.0,31.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
尚海,淡水區-淡金路,18000.0,35.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
淡大溫哥華,淡水區-水源街二段,15300.0,18.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,32000.0,46.5,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,25000.0,35.0,未知,,其他
宏盛水悅,淡水區-新市三路,25000.0,35.0,未知,,其他
淡水幸福城,淡水區-學府路,25000.0,35.0,未知,,其他
1F/1F,淡水區-原德路109巷,8000.0,10.0,未知,,其他
1F/1F,淡水區-原德路109巷,22000.0,23.5,未知,,其他
宏普有逸天,淡水區-新市二路一段,23000.0,23.5,未知,,其他
2F/3F,淡水區-英專路28巷2弄,23000.0,29.3,未知,,其他
米蘭藝術館,淡水區-北新路,25020.0,28.0,未知,,其他
台北灣 銀河,淡水區-新市一路一段,16000.0,23.3,未知,,其他
4F/4F,淡水區-新生街55巷,28000.0,25.3,🌟淡大捷森堡🍀精緻套房、露台空間✨免爬樓梯👌拎包入住,,其他
天琴,淡水區-濱海路二段202巷65弄,16800.0,7.2,獨立套房,,其他
淡大捷森堡,淡水區-學府路136巷,23500.0,39.7,🏠北新商圈分租套房🏠近淡江大學🏠生活便利,,其他
海洋都心,淡水區-新市五路三段,6500.0,7.0,獨立套房,,其他
5F/7F,淡水區-北新路,8500.0,7.0,分租套房,,其他
淡大財庫,淡水區-學府路136巷,4500.0,7.0,獨立套房,🏠淡大財庫🏠電梯大樓*裝潢獨立套房🏠可租補,電梯大樓
6F/14F,淡水區-學府路136巷,12000.0,7.0,獨立套房,🏠淡大財庫🏠電梯大樓*裝潢獨立套房🏠可租補,電梯大樓
淡大財庫,淡水區-學府路136巷,22000.0,16.0,*新環境*近淡水捷運站.獨立陽台套房,,其他
海揚,淡水區-中正東路一段3巷14弄,7000.0,6.0,🏠景觀溫馨舒適🏠【淡大財庫】獨立套房.💎可租補,,其他
新環境,淡水區-學府路128巷,12000.0,7.0,摩納哥★輕軌旁★優質獨立套房(可租補),,其他
淡大財庫,淡水區-學府路136巷,17000.0,9.3,獨立套房,,其他
摩納哥,淡水區-淡金路38巷,19500.0,14.3,未知,,其他
聖塔露琪亞夢幻區,淡水區-淡金路,12000.0,6.0,分租套房,,其他
3F/5F,淡水區-新春街,16000.0,8.0,小資租補精緻全配有窗套房二人共住皆可租補,,其他
3F/5F,淡水區-新春街,11000.0,5.0,小資租補精緻全配有窗套房二人共住皆可租補,,其他
4F/4F,淡水區-中山北路一段180巷,20000.0,27.3,未知,,其他
2F/5F,淡水區-平遠街,59800.0,77.8,可寵可租補｜近淡大魔術空間套房｜小而美｜甜甜價,,其他
水立方,淡水區-淡金路,6600.0,4.3,獨立套房,,其他
淡水大學城,淡水區-學府路,20000.0,28.6,獨立套房,,其他
鴻灃青,淡水區-濱海路一段306巷60弄68號,15000.0,27.0,獨立套房,,其他
心航線,淡水區-文化路,21000.0,27.0,未知,全新精裝潢台北灣-銀河超新社區,其他
漫活時代,淡水區-竿蓁二街19巷,21500.0,15.0,未知,全新社區全新精裝修進淡江大橋台北灣銀河,其他
台北灣 銀河,淡水區-新市一路260號,21500.0,15.0,獨立套房,全新社區全新精裝修進淡江大橋台北灣銀河,其他
大旭地,淡水區-北新路一段,18000.0,35.0,未知,,其他
海天DEFG棟,淡水區-八勢一街,6000.0,5.0,未知,,其他
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,7000.0,7.0,未知,,其他
淡大溫哥華,淡水區-水源街二段,72000.0,57.0,未知,,其他
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,29000.0,31.0,未知,,其他
鄉林山海匯,淡水區-八勢路,20800.0,28.0,未知,,其他
尚海,淡水區-淡金路,8900.0,8.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
海洋都心3,淡水區-新市五路三段,3000.0,6.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,25000.0,35.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,1900.0,12.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
淡水幸福城,淡水區-學府路,90000.0,80.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
台北GOGO,淡水區-民權路,15300.0,18.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
海洋都心No.3 Ocean city,淡水區-新市三路二段,32000.0,46.5,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
富麗欣,淡水區-濱海路二段,13600.0,18.0,未知,,其他
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,25000.0,25.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
大旭地,淡水區-北新路一段,20000.0,21.5,未知,,其他
海天DEFG棟,淡水區-八勢一街,20000.0,21.5,未知,圭柔山大空間公寓三房，可租補入戶籍籍,公寓
4F/4F,淡水區-淡金路三段317號,24000.0,25.6,未知,,其他
日月星辰,淡水區-濱海路一段306巷9弄39號,23300.0,43.7,未知,,其他
台北灣2觀海/台北灣B區透天區,淡水區-新市一路一段,18500.0,20.3,未知,,其他
台北灣-江南大宅,淡水區-沙崙路一段,20000.0,26.5,未知,,其他
台北灣-江南大宅,淡水區-沙崙路一段,24000.0,17.0,未知,,其他
鴻灃青,淡水區-濱海路一段306巷60弄,22800.0,29.5,未知,,其他
普羅旺斯,淡水區-新市一路三段,21000.0,30.4,未知,原徳路公寓三樓一卡皮箱拎包入住全套傢俱家電七分鐘到淡水捷運站,公寓
馥樂樂,淡水區-中山北路三段,18000.0,21.0,未知,原徳路公寓三樓一卡皮箱拎包入住全套傢俱家電七分鐘到淡水捷運站,公寓
3F/5F,淡水區-原德路,20000.0,37.8,未知,,其他
淡水小城,淡水區-學府路136巷,23000.0,17.0,未知,,其他
台北灣-江南大宅,淡水區-沙崙路一段,25000.0,33.1,未知,,其他
聯園璞玉/聯園樸麗,淡水區-新市一路一段99巷,32000.0,19.0,未知,,其他
觀海極品,淡水區-民族路31巷,15000.0,7.0,淡大旁套房2樓，水電全包,,其他
3F/3F,淡水區-八勢路22巷,5500.0,25.0,分租套房,,其他
2F/5F,淡水區-學府路,5500.0,25.0,未知,,其他
2F/5F,淡水區-學府路,8500.0,7.0,溫馨套房近真理大學適合學生上班族,,其他
5F/6F,淡水區-學府路,5500.0,8.0,分租套房,,其他
3F/5F,淡水區-新民街53巷,23000.0,26.8,未知,,其他
水天靚,淡水區-沙崙路,22000.0,28.8,未知,,其他
心之界,淡水區-濱海路三段148巷50弄,31000.0,33.0,未知,,其他
佳瑞心公園,淡水區-義山路一段401巷,23000.0,34.0,未知,,其他
名軒海樂地,淡水區-沙崙路二段,22000.0,36.5,未知,,其他
鴻灃青,淡水區-濱海路一段306巷60弄,22500.0,44.0,未知,,其他
宏盛水悅,淡水區-新市三路一段,23800.0,31.9,未知,,其他
麗景,淡水區-中正東路一段,7000.0,8.0,分租套房,,其他
無,淡水區-北新路141巷,18500.0,16.4,未知,,其他
海洋都心,淡水區-新市五路三段,22000.0,15.8,未知,,其他
海洋都心,淡水區-新市五路三段,28000.0,20.8,未知,❤️電梯大樓❤️可租補入籍報稅❤️免仲介費,電梯大樓
宏盛海都 2期,淡水區-新市三路二段,23000.0,25.0,未知,❤️電梯大樓❤️可租補入籍報稅❤️免仲介費,電梯大樓
海洋都心3,淡水區-新市五路三段,90000.0,80.0,未知,,其他
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,72000.0,57.0,未知,,其他
鄉林山海匯,淡水區-八勢路,15300.0,18.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,19960.0,20.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
海洋都心No.3 Ocean city,淡水區-新市三路二段,13900.0,17.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
富麗欣,淡水區-濱海路二段,32000.0,46.5,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
海洋都心3,淡水區-新市五路三段,25000.0,25.0,未知,,其他
宏盛水悅,淡水區-新市三路,20000.0,21.5,未知,,其他
大旭地,淡水區-北新路一段,29000.0,31.0,未知,,其他
尚海,淡水區-淡金路,6000.0,5.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
台北GOGO,淡水區-民權路,13600.0,18.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
淡大溫哥華,淡水區-水源街二段,8900.0,8.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,25000.0,35.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,3000.0,6.0,未知,,其他
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,7000.0,7.0,未知,,其他
海洋都心3,淡水區-新市五路三段,7000.0,7.0,未知,,其他
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,7000.0,8.0,獨立套房,,其他
淡江有約,淡水區-淡金路一段,28800.0,8.0,獨立套房,,其他
福格大飯店,淡水區-學府路89號,11000.0,6.8,未知,,其他
淡大財庫,淡水區-學府路136巷,26000.0,20.5,未知,,其他
合謙飛時代,淡水區-濱海路一段,6000.0,8.0,雅房,一樓免爬梯❤️新生公寓大三房❤️近淡水國中文化國小新生消防隊,公寓
無,淡水區-北新路141巷6號,17000.0,24.5,未知,一樓免爬梯❤️新生公寓大三房❤️近淡水國中文化國小新生消防隊,公寓
2F/3F,淡水區-新生街,57500.0,40.0,未知,,其他
紅樹林鄉林山海匯,淡水區-八勢路50巷,25000.0,18.0,未知,,其他
綠山棧,淡水區-濱海路一段,10500.0,11.0,獨立套房,,其他
海景天下二期大樓區,淡水區-大忠街,25000.0,30.7,未知,,其他
關渡山水,淡水區-民權路,20200.0,25.1,室內獨立溫泉♨️可租補-入籍-寵物可談💖清淞獨立套房含管,,其他
海洋都心,淡水區-新市五路三段,14000.0,8.5,獨立套房,,其他
清淞,淡水區-淡金路,17000.0,28.1,分租套房,,其他
菓嶺山莊,淡水區-小坪頂66巷,6800.0,56.4,分租套房,,其他
3F/3F,淡水區-水源街一段18巷,36000.0,56.4,未知,,其他
水源帝寶,淡水區-水源街一段,25000.0,40.0,近淡江大學邊間大套房附機車停車位,,其他
青山麗緻,淡水區-英專路,7100.0,7.0,分租套房,,其他
3F/5F,淡水區-水源街二段,21500.0,29.3,未知,,其他
淡江學園,淡水區-水源街二段120巷,22000.0,17.6,未知,,其他
新品苑,淡水區-新市三路一段,52000.0,45.5,未知,"家樂福附近綠線G4站電梯大樓,高樓層視野佳,環境清優^-^",電梯大樓
水紀元,淡水區-民權路,27000.0,33.5,未知,"家樂福附近綠線G4站電梯大樓,高樓層視野佳,環境清優^-^",電梯大樓
里御大砌,淡水區-濱海路一段306巷60弄,88000.0,67.4,未知,,其他
27F/29F,淡水區-興福寮88巷,26000.0,35.0,真理大學溫馨套房,,其他
群祥泰,淡水區-中山北路三段16巷,7500.0,34.6,真理大學溫馨套房,,其他
真理街3巷,淡水區-真理街3巷,22000.0,33.8,✨原德路・新裝潢大套房｜近捷運・近淡水國小✨,,其他
馥樂樂,淡水區-中山北路三段49號,13000.0,10.0,🏡仁愛街206公寓｜全新裝潢套房｜交通便利、生活機能佳！,🏡仁愛街206公寓｜全新裝潢套房｜交通便利、生活機能佳！,公寓
1F/5F,淡水區-大智街46巷,10000.0,5.0,✨全新套房｜近捷運3分鐘｜超大陽台・獨立曬衣空間✨,🏡仁愛街206公寓｜全新裝潢套房｜交通便利、生活機能佳！,公寓
2F/5F,淡水區-仁愛街999號,14000.0,10.0,✨近捷運・近市場・淡江大學・可養寵物套房｜地點便利✨,,其他
3F/5F,淡水區-中山路72巷6弄,10000.0,6.0,分租套房,,其他
5F/5F,淡水區-中山路129巷,13000.0,7.0,分租套房,,其他
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,20000.0,21.5,未知,台北GOGO社區近竹圍捷運站車位出租,其他
海天DEFG棟,淡水區-八勢一街,3000.0,6.0,未知,,其他
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,72000.0,57.0,未知,,其他
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,25000.0,25.0,未知,,其他
大旭地,淡水區-北新路一段,6000.0,5.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
富麗欣,淡水區-濱海路二段,8900.0,8.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
淡大溫哥華,淡水區-水源街二段,32000.0,46.5,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
淡水幸福城,淡水區-學府路,90000.0,80.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
海洋都心3,淡水區-新市五路三段,15300.0,18.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,13600.0,18.0,未知,,其他
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,13600.0,18.0,未知,,其他
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,13600.0,8.0,分租套房,,其他
1F/5F,淡水區-大智街46巷,22000.0,36.4,🌈輕軌摩納哥喜樂套房,,其他
佳昂晴海,淡水區-新市一路一段331巷,17000.0,13.5,獨立套房,,其他
摩納哥,淡水區-淡金路38巷,14000.0,9.0,分租套房,,其他
頂樓加蓋/4F,淡水區-自強路201巷,12500.0,9.0,分租套房,,其他
3F/3F,淡水區-民族路17巷2弄8號,32000.0,46.0,未知,,其他
老莊大廈,淡水區-自強路,28000.0,22.0,未知,,其他
台北灣 銀河,淡水區-新市一路一段,25000.0,24.5,未知,,其他
關渡山水,淡水區-民權路,26000.0,23.8,未知,,其他
有富SUNDAY,淡水區-八勢一街,21000.0,18.9,未知,,其他
1F/2F,淡水區-民生路113巷3弄,21000.0,18.9,未知,,其他
1F/2F,淡水區-民生路113巷3弄,25000.0,17.2,未知,,其他
秀山莊,淡水區-中正東路二段143巷12弄,33000.0,41.9,未知,,其他
幸福新城C棟,淡水區-民權路,9700.0,7.0,獨立套房,,其他
5F/6F,淡水區-民生路9巷1弄,26000.0,23.8,未知,,其他
