標題/社區,地址,價格,坪數,房型,建物類型,建物類型_新
有富SUNDAY,淡水區-八勢一街,20500.0,27.0,真理大學_五星級套房出租,,其他
海洋都心,淡水區-新市五路三段158號,5500.0,6.0,淡江大學附近分租套房🌹,,其他
5F/5F,淡水區-新民街180巷,4500.0,5.0,淡江大學附近分租套房🌹,,其他
4F/5F,淡水區-學府路,28000.0,36.3,未知,,其他
海闊天高天高區,淡水區-中正東路二段25巷,25000.0,37.2,未知,,其他
佳昂晴海,淡水區-新市一路一段331巷,35000.0,42.0,未知,,其他
❤️即刻預約看屋❤️,淡水區-紅樹林路,23000.0,19.0,未知,,其他
宏盛蒙德里安,淡水區-沙崙路一段126巷,35000.0,48.0,未知,,其他
整棟/4F,淡水區-興福寮66巷,45000.0,35.1,未知,,其他
將捷之森,淡水區-淡金路二段179號,30000.0,17.5,未知,全新【Park99】社區~簡易裝潢『可申請租屋補助』,其他
將捷之森,淡水區-淡金路二段175號,25000.0,19.3,☎自主國☎套房☎商業區☎可自住或登記,全新【Park99】社區~簡易裝潢『可申請租屋補助』,其他
Park 99,淡水區-義山路一段401巷78號,9500.0,11.6,獨立套房,,其他
自主國,淡水區-沙崙路,22000.0,40.1,未知,,其他
藍海名廈,淡水區-北新路69巷,26000.0,32.1,未知,,其他
台北灣-江南大宅,淡水區-沙崙路一段,14200.0,30.0,未知,,其他
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,32000.0,46.5,未知,,其他
宏盛水悅,淡水區-新市三路,29000.0,31.0,未知,,其他
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,25000.0,25.0,未知,,其他
尚海,淡水區-淡金路,3000.0,6.0,未知,,其他
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,20800.0,28.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,19960.0,20.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
海洋都心3,淡水區-新市五路三段,7000.0,7.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
富麗欣,淡水區-濱海路二段,13900.0,17.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,台北GOGO社區近竹圍捷運站車位出租,其他
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,1900.0,12.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,台北GOGO社區近竹圍捷運站車位出租,其他
海洋都心3,淡水區-新市五路三段,25000.0,35.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,台北GOGO社區近竹圍捷運站車位出租,其他
台北GOGO,淡水區-民權路,15300.0,18.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
淡水幸福城,淡水區-學府路,20000.0,21.5,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,6000.0,5.0,未知,,其他
海天DEFG棟,淡水區-八勢一街,90000.0,80.0,未知,,其他
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,72000.0,57.0,未知,,其他
鄉林山海匯,淡水區-八勢路,72000.0,57.0,未知,,其他
4F/4F,淡水區-民族路29巷1弄,13000.0,12.6,獨立套房,新春街長頸鹿社區2房2廳1廚1衛,其他
摩天31,淡水區-新春街180號,16000.0,11.1,未知,新春街長頸鹿社區2房2廳1廚1衛,其他
5F/6F,淡水區-水源街二段92巷5弄18號,25000.0,35.0,淡水捷運站前英專夜市套房出租,,其他
無,淡水區-水源街二段216號,5000.0,5.0,分租套房,,其他
5F/5F,淡水區-水源街一段122巷,8000.0,8.0,獨立套房,,其他
2F/3F,淡水區-水源街二段216號,6000.0,8.0,竹圍地區近捷運500M光纖寬敞亮麗套房,,其他
5F/5F,淡水區-新民街180巷3號,9800.0,9.0,獨立套房,,其他
2F/5F,淡水區-大同路,10000.0,6.0,分租套房,,其他
6F/12F,淡水區-中山路,21599.0,23.0,未知,,其他
0916952299,淡水區-新民街一段,22999.0,23.0,竹圍捷運高級套房附廚房可開伙可養寵禁煙,,其他
0958784966,淡水區-新民街一段,11000.0,5.0,稀有釋出！#淡水真理#優質清新套房,,其他
4F/4F,淡水區-民族路29巷1弄,5200.0,7.0,獨立套房,,其他
3F/5F,淡水區-新民街190號,6500.0,7.0,獨立套房,,其他
3F/5F,淡水區-新民街226巷1號,47999.0,63.4,未知,,其他
整棟/3F,淡水區-興福寮66巷,14999.0,15.0,未知,,其他
3F/3F,淡水區-興福寮66巷,23999.0,16.3,溫馨的大套房，生活機能優,,其他
無,淡水區-民權路,9300.0,10.5,溫馨的大套房，生活機能優,,其他
真理大學對面,淡水區-新民街174號,9300.0,10.5,獨立套房,,其他
真理大學對面,淡水區-新民街174號,29500.0,22.2,未知,,其他
台北灣 江南‧頤和,淡水區-濱海路三段148巷,26000.0,22.2,未知,,其他
台北灣-江南大宅,淡水區-沙崙路一段,25000.0,27.6,未知,鄰近輕軌｜優質社區｜和光同塵誠意出租,其他
淡江有約花園,淡水區-淡金路一段,22000.0,19.9,未知,鄰近輕軌｜優質社區｜和光同塵誠意出租,其他
和光同塵,淡水區-新市二路三段172巷3弄,22000.0,15.7,關渡山水拎包大套房,,其他
台北灣 銀河,淡水區-新市一路一段,18000.0,13.1,關渡山水拎包大套房,,其他
關渡山水,淡水區-民權路,31000.0,39.6,未知,,其他
關渡大國二期,淡水區-民族路31巷,25000.0,26.3,未知,,其他
水世紀,淡水區-民權路,36500.0,36.1,未知,,其他
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,13600.0,18.0,未知,,其他
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,29000.0,31.0,未知,,其他
尚海,淡水區-淡金路,20800.0,28.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
富麗欣,淡水區-濱海路二段,6000.0,5.0,未知,,其他
海洋都心3,淡水區-新市五路三段,25000.0,25.0,未知,,其他
淡大溫哥華,淡水區-水源街二段,25000.0,35.0,未知,,其他
大旭地,淡水區-北新路一段,15300.0,18.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
淡水幸福城,淡水區-學府路,1900.0,12.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,台北GOGO社區近竹圍捷運站車位出租,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,18000.0,35.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
台北GOGO,淡水區-民權路,32000.0,46.5,未知,,其他
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,90000.0,80.0,未知,,其他
宏盛水悅,淡水區-新市三路,3000.0,6.0,未知,,其他
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,13900.0,8.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,8900.0,8.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
海洋都心3,淡水區-新市五路三段,20000.0,21.5,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
海天DEFG棟,淡水區-八勢一街,20000.0,19.9,未知,鄰近輕軌｜優質社區｜和光同塵誠意出租,其他
和光同塵,淡水區-新市二路三段172巷3弄,22000.0,15.7,未知,,其他
台北灣 銀河,淡水區-新市一路一段,25000.0,27.6,關渡山水拎包大套房,,其他
淡江有約花園,淡水區-淡金路一段,18000.0,13.1,關渡山水拎包大套房,,其他
聯硯繪,淡水區-自強路,56000.0,10.0,免费淡水北投子2樓214套10坪租6仟5有214套房,,其他
2F/2F,淡水區-八勢二街,6500.0,26.0,分租套房,,其他
3F/5F,淡水區-三民街,8000.0,6.0,分租套房,,其他
2F/3F,淡水區-博愛街,23000.0,36.1,未知,,其他
佳昂晴海,淡水區-新市一路一段331巷,25000.0,37.0,未知,,其他
麗寶鐸藝,淡水區-中正路一段,23000.0,26.7,未知,,其他
福臨華廈,淡水區-新民街,16000.0,14.5,獨立套房,,其他
海闊天高天高區,淡水區-中正東路二段25巷,17000.0,27.5,未知,,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,12000.0,7.0,雅房,,其他
2F/4F,淡水區-八勢路50巷8弄,21000.0,33.3,未知,,其他
藍海名廈,淡水區-北新路69巷,13000.0,10.0,分租套房,,其他
2F/4F,淡水區-八勢路50巷8弄,28000.0,48.8,未知,,其他
新浦東,淡水區-新市一路三段101巷,22900.0,36.3,未知,,其他
W丰上,淡水區-中山北路三段31巷,27000.0,39.6,未知,,其他
益翔樂活綻,淡水區-新春街125巷,24000.0,24.7,未知,,其他
麗寶鐸藝,淡水區-中正路一段,20000.0,27.2,未知,,其他
2F/4F,淡水區-學府路102巷,26000.0,45.7,未知,,其他
普羅旺斯,淡水區-新市一路三段,23000.0,37.2,未知,,其他
鴻灃青,淡水區-濱海路一段306巷60弄,28000.0,25.5,近淡江大學電梯獨立套房｜有陽台｜衛浴翻新,,其他
勝華V8,淡水區-義山路一段,14000.0,11.0,獨立套房,,其他
學府路151號華廈,淡水區-學府路,22000.0,27.0,未知,,其他
海洋都心,淡水區-新市五路三段,20000.0,25.0,未知,,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,8900.0,46.5,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,32000.0,46.5,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,72000.0,57.0,未知,,其他
鄉林山海匯,淡水區-八勢路,18000.0,35.0,未知,,其他
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,20000.0,21.5,未知,,其他
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,1900.0,12.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
台北GOGO,淡水區-民權路,6000.0,5.0,未知,,其他
淡大溫哥華,淡水區-水源街二段,13900.0,17.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
大旭地,淡水區-北新路一段,25000.0,35.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
淡水幸福城,淡水區-學府路,19960.0,20.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
尚海,淡水區-淡金路,15300.0,18.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
富麗欣,淡水區-濱海路二段,3000.0,6.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,3000.0,6.0,未知,,其他
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,3000.0,22.6,未知,,其他
薇閣大樓,淡水區-民生路,21500.0,17.2,未知,,其他
宏盛水悅,淡水區-新市三路一段,20000.0,11.4,未知,,其他
富陽四季,淡水區-中正東路二段,25000.0,20.4,未知,,其他
台北灣 銀河,淡水區-新市一路一段,23500.0,18.9,未知,江南社區有景觀三房車,其他
合陽齊美,淡水區-新市二路三段,24000.0,22.9,未知,江南社區有景觀三房車,其他
台北灣 江南‧頤和,淡水區-濱海路三段148巷,24000.0,18.0,💖限男🌿竹圍捷運大窗採光雅房✨,,其他
南加州,淡水區-民權路19號,7150.0,5.0,雅房,社區庭院一樓三房車🔥社宅/可租補/免服務費🔥五泰小陳,其他
2F/2F,淡水區-民族路33巷,29000.0,25.4,稀缺雅房来了，帶窗帶陽台，水泥隔間,社區庭院一樓三房車🔥社宅/可租補/免服務費🔥五泰小陳,其他
合康嘉年華,淡水區-新市一路一段,8500.0,12.0,分租套房,,其他
5F/5F,淡水區-民權路177巷,3800.0,5.0,分租套房,,其他
頂樓加蓋/4F,淡水區-新生街90巷,2800.0,5.0,未知,,其他
淡大菁英,淡水區-北新路184巷,22000.0,18.7,未知,,其他
宏盛海都 2期,淡水區-新市三路二段,21000.0,24.8,未知,,其他
馥樂樂,淡水區-中山北路三段,15000.0,15.3,未知,,其他
3F/5F,淡水區-鄧公路1弄,9000.0,8.0,獨立套房,,其他
4F/4F,淡水區-新民街,23800.0,28.7,原德路二樓套房無對外窗,,其他
捷運悅境,淡水區-濱海路一段,5000.0,22.2,分租套房,,其他
2F/5F,淡水區-原德路,22000.0,22.2,未知,,其他
2F/3F,淡水區-英專路28巷2弄,38000.0,27.3,真理大學全配獨立水電錶美套房E室,,其他
好風光II,淡水區-紅樹林路,6500.0,6.0,真理大學全配獨立水電錶美套房B,,其他
5F/5F,淡水區-新民街53巷,5500.0,5.0,分租套房,,其他
5F/5F,淡水區-新民街53巷,5500.0,22.0,未知,,其他
中山麗景,淡水區-中山路,20000.0,16.0,未知,,其他
一森原,淡水區-中正路二段,24800.0,36.9,未知,,其他
宏盛海都 2期,淡水區-新市三路二段,18000.0,21.8,未知,,其他
宏英加州大樓,淡水區-新春街126巷,20000.0,25.1,未知,,其他
學府路151號華廈,淡水區-學府路,21000.0,23.0,未知,,其他
台北灣 江南‧頤和,淡水區-濱海路三段148巷,23000.0,31.0,未知,,其他
3F/3F,淡水區-民族路,13000.0,4.0,分租套房,,其他
鄉林山海匯,淡水區-八勢路,1900.0,12.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
大旭地,淡水區-北新路一段,29000.0,31.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
海洋都心3,淡水區-新市五路三段,6000.0,5.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
海洋都心3,淡水區-新市五路三段,15300.0,18.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
淡大溫哥華,淡水區-水源街二段,19960.0,20.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
海洋都心No.3 Ocean city,淡水區-新市三路二段,18000.0,35.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,25000.0,35.0,未知,,其他
海天DEFG棟,淡水區-八勢一街,8900.0,8.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
淡水幸福城,淡水區-學府路,13600.0,18.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,90000.0,80.0,未知,,其他
Park 99,淡水區-義山路一段401巷,20000.0,9.6,紅樹林捷運❤️海悅河景超值精美套房☀️,,其他
海悅觀海城堡,淡水區-中正東路二段,20000.0,25.0,英專路好生活套房走路就到夜市、捷運站歡迎賞屋,,其他
藍色情人海,淡水區-淡海路184巷,8800.0,7.0,獨立套房,,其他
無,淡水區-英專路,25000.0,12.0,未知,,其他
名軒海樂地,淡水區-沙崙路二段,25000.0,41.5,未知,,其他
海洋都心,淡水區-新市三路二段,25000.0,41.5,未知,,其他
海洋都心,淡水區-新市三路二段,12000.0,15.0,獨立套房,,其他
巧克力花園,淡水區-水源街二段177巷,32000.0,32.7,未知,,其他
水天靚,淡水區-沙崙路,40000.0,44.3,未知,,其他
詠萃,淡水區-沙崙路一段126巷,9500.0,5.1,獨立套房,,其他
3F/5F,淡水區-北新路182巷5弄,7500.0,5.0,獨立套房,,其他
5F/6F,淡水區-水源街一段122巷,7500.0,5.0,獨立套房,,其他
5F/6F,淡水區-水源街一段122巷,20000.0,50.0,未知,,其他
海洋都心,淡水區-新市五路三段286號,24000.0,50.0,未知,泰隆社區,其他
泰隆社區,淡水區-鄧公路30巷1弄,17000.0,18.0,未知,泰隆社區,其他
泰隆社區,淡水區-鄧公路30巷1弄,16000.0,22.0,未知,泰隆社區,其他
泰隆社區,淡水區-鄧公路30巷1弄,17000.0,25.0,未知,,其他
5F/6F,淡水區-鄧公路30巷1弄16號,20000.0,8.0,分租套房,,其他
2F/4F,淡水區-民權一街,8000.0,7.0,分租套房,,其他
1F/4F,淡水區-新民街180巷,6000.0,4.7,獨立套房,,其他
1F/5F,淡水區-水源街一段71巷,14000.0,4.8,獨立套房,,其他
預約看房請加Line:@965vwsrt,淡水區-水源街二段,13000.0,6.0,獨立套房,,其他
預約看房請加Line:@965vwsrt,淡水區-水源街二段,13500.0,6.0,近淡江大學_有電梯華廈套房傢俱齊全401室（已收定）,,其他
預約看房請加Line:@965vwsrt,淡水區-水源街二段,6000.0,2.5,獨立套房,,其他
預約看房請加Line:@965vwsrt,淡水區-學府路172巷,28000.0,20.8,未知,,其他
宏盛海都 2期,淡水區-新市三路二段,36500.0,44.2,未知,,其他
聯硯繪,淡水區-自強路110號,25000.0,18.1,未知,,其他
名軒海樂地,淡水區-沙崙路二段,23000.0,19.0,未知,,其他
淡水幸福城,淡水區-學府路,13900.0,8.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
海洋都心3,淡水區-新市五路三段,25000.0,25.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,20800.0,28.0,未知,,其他
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,15300.0,18.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
海洋都心3,淡水區-新市五路三段,7000.0,7.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,20000.0,21.5,未知,,其他
鄉林山海匯,淡水區-八勢路,90000.0,80.0,未知,,其他
尚海,淡水區-淡金路,1900.0,12.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
台北GOGO,淡水區-民權路,25000.0,35.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
淡水幸福城,淡水區-學府路,3000.0,6.0,未知,,其他
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,3000.0,6.0,未知,,其他
盧卡小丘,淡水區-淡金路16巷,15000.0,20.9,未知,近淡水捷運站⭕️英專路商圈⭕️公寓三房⭕️靜巷住宅⭕️採光,公寓
3F/5F,淡水區-仁愛街,25000.0,19.0,未知,,其他
宏盛蒙德里安,淡水區-沙崙路一段126巷,16800.0,12.6,獨立套房,,其他
關渡山水,淡水區-民權路,20000.0,20.0,未知,,其他
1,淡水區-水源街一段122巷,30000.0,31.3,竹圍優質小套房5,,其他
理想家,淡水區-新市二路二段,6000.0,4.0,分租套房,沃盛睿達🏠社宅可租補免仲介費🔥電梯大樓／淡金路,電梯大樓
3F/3F,淡水區-民生路93號,28000.0,30.8,未知,沃盛睿達🏠社宅可租補免仲介費🔥電梯大樓／淡金路,電梯大樓
荷雅名人館,淡水區-淡金路38巷,27000.0,20.4,未知,,其他
台北灣 銀河,淡水區-新市一路一段,2000.0,5.0,未知,,其他
5坪,淡水區-新民街一段120巷45弄40號,23800.0,39.1,未知,,其他
捷運悅境,淡水區-濱海路一段,22000.0,34.6,未知,淡水捷運旁百萬裝潢🌳公寓二樓🌳三房,公寓
沙崙路公寓,淡水區-沙崙路151巷26弄,20000.0,27.3,未知,淡水捷運旁公寓,公寓
淡水捷運旁公寓,淡水區-平遠街,32000.0,42.7,未知,,其他
水天靚,淡水區-沙崙路,23000.0,20.1,未知,,其他
一森原,淡水區-中正路二段,25000.0,40.9,未知,,其他
台北灣 銀河,淡水區-新市一路一段,28800.0,39.0,✨紅樹林捷運近輕軌電梯套房✨,,其他
海德公園,淡水區-中山北路二段381巷,7000.0,5.0,分租套房,,其他
3F/8F,淡水區-坪頂路,23000.0,20.0,未知,,其他
海洋都心,淡水區-新市五路三段,9000.0,8.0,分租套房,,其他
16F/17F,淡水區-學府路136巷,24000.0,18.0,未知,,其他
名軒海樂地,淡水區-沙崙路二段,30000.0,26.0,未知,,其他
名軒海樂地,淡水區-沙崙路二段,30000.0,29.1,未知,,其他
合康嘉年華,淡水區-新市一路一段,30000.0,34.6,未知,,其他
Park 99,淡水區-義山路一段401巷,25000.0,15.3,未知,,其他
台北灣-江南大宅,淡水區-沙崙路一段,23000.0,15.0,未知,,其他
摩納哥,淡水區-淡金路38巷,25000.0,40.3,未知,,其他
名軒海樂地,淡水區-沙崙路二段,27000.0,52.7,未知,,其他
和光景闊,淡水區-新市五路二段,7500.0,6.0,獨立套房,,其他
5F/6F,淡水區-學府路181巷,23000.0,27.5,未知,,其他
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,19960.0,20.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,29000.0,31.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
富麗欣,淡水區-濱海路二段,25000.0,25.0,未知,,其他
尚海,淡水區-淡金路,20000.0,21.5,未知,,其他
大旭地,淡水區-北新路一段,90000.0,80.0,未知,,其他
海天DEFG棟,淡水區-八勢一街,20800.0,28.0,未知,,其他
海洋都心3,淡水區-新市五路三段,1900.0,12.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,台北GOGO社區近竹圍捷運站車位出租,其他
海洋都心3,淡水區-新市五路三段,32000.0,46.5,未知,台北GOGO社區近竹圍捷運站車位出租,其他
台北GOGO,淡水區-民權路,7000.0,7.0,未知,,其他
宏盛水悅,淡水區-新市三路,72000.0,57.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,15300.0,18.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
鄉林山海匯,淡水區-八勢路,6000.0,5.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,25000.0,35.0,未知,,其他
淡大溫哥華,淡水區-水源街二段,18000.0,35.0,未知,,其他
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,13600.0,8.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
鴻灃青,淡水區-濱海路一段306巷60弄,58000.0,78.5,未知,,其他
舒伯特,淡水區-中正東路二段107巷1號,23500.0,39.7,未知,,其他
海洋都心,淡水區-新市五路三段,27000.0,38.0,未知,,其他
一森原,淡水區-中正路二段,31500.0,30.0,未知,,其他
富陽四季,淡水區-中正東路二段,22000.0,22.7,未知,,其他
海洋都心,淡水區-新市五路三段,27000.0,36.0,*可租補*淡大圖書館側門走路只1分鐘.全新雙人大套房,,其他
5F/5F,淡水區-新民街,9000.0,15.0,獨立套房,,其他
B1/5F,淡水區-水源街二段74巷,30000.0,43.6,未知,,其他
佳陞Park189,淡水區-新市二路三段36巷37弄,42000.0,69.2,未知,,其他
尚海,淡水區-淡金路,13000.0,6.5,分租套房,,其他
1F/5F,淡水區-學府路205巷1弄,8000.0,6.5,分租套房,,其他
5F/5F,淡水區-新民街180巷,28800.0,22.1,未知,,其他
海德公園,淡水區-中山北路二段381巷,21000.0,21.5,未知,,其他
戀戀山海,淡水區-沙崙路,33000.0,30.0,未知,淡水指標社區/新春街口/愛貓族首選,其他
書香大第,淡水區-新興街,10800.0,9.0,水碓商圈共生雅房/新春街口,淡水指標社區/新春街口/愛貓族首選,其他
7F/31F,淡水區-中山北路一段,7800.0,5.0,近真理大學/海科大/2樓雙人大套房/可貓,,其他
無,淡水區-中山北路一段,9500.0,7.5,分租套房,,其他
2F/5F,淡水區-新春街,8600.0,6.5,分租套房,,其他
